티커,종목명,시장,RS,clenow,fip,신규,시총,r3,r6,r9,r12,close,거래대금20
053260,금강철강,KOSDAQ,95,0.00029909136958690044,-0.06666666666666665,False,147326400000,60.12207527975586,83.02325581395348,91.71741778319122,68.88412017167383,7870,21773089182.5
004310,현대약품,KOSPI,95,-0.000956347184364666,-0.033333333333333326,False,314240000000,71.37870855148343,5.93311758360302,61.24794745484401,152.4421593830334,9820,62716864202.0
034730,SK,KOSPI,94,-0.006506705115932026,0.0888888888888889,False,42414081255000,-1.3490725126475533,76.73716012084593,118.69158878504673,162.92134831460677,585000,82857225150.0
356680,엑스게이트,KOSDAQ,94,-0.45201479756049323,-0.06666666666666665,False,458408481520,-2.132845825716023,128.77492877492878,99.5031055900621,123.67688022284122,16060,21565065057.5
025560,미래산업,KOSPI,94,0.2178855664456189,-0.11111111111111116,False,165283134100,-37.03703703703704,118.10850439882698,130.44151820294348,173.18640955004588,5950,4430034936.0
010120,LS ELECTRIC,KOSPI,94,-0.3942792269821643,-0.18888888888888888,False,30675000000000,-8.089887640449433,36.880856760374826,102.07509881422925,223.5759493670886,204500,109451587050.0
010950,S-Oil,KOSPI,94,1.2928064384150546,0.04444444444444445,False,16887418800000,34.649910233393186,38.888888888888886,83.8235294117647,153.3783783783784,150000,65792384890.0
252990,샘씨엔에스,KOSDAQ,94,0.000637173555612705,-0.04444444444444445,False,950238288420,-3.308823529411764,51.14942528735633,122.25352112676057,173.95833333333334,15780,7333783997.0
420770,기가비스,KOSDAQ,94,-0.06434669114179245,-0.0222222222222222,False,1188986100400,-35.75342465753425,29.737206085753808,179.99999999999997,195.89905362776022,93800,14323241075.0
041830,인바디,KOSDAQ,94,2.0934958397924595,-0.15555555555555556,False,776498803200,29.8759864712514,94.59459459459461,69.91150442477876,107.942238267148,57600,4900597635.0
003350,한국화장품제조,KOSPI,94,0.49027745071599477,-0.06666666666666671,False,355988600000,89.50542822677924,62.629399585921334,57.57271815446339,31.35451505016722,15710,30607264924.5
011070,LG이노텍,KOSPI,94,-0.33992015194651287,-0.06666666666666665,False,12851239101000,-47.58687258687259,117.20000000000002,84.38030560271648,223.5995232419547,543000,159443770700.0
241770,메카로,KOSDAQ,94,-0.002984187046492964,0.0,False,428090880000,-9.774436090225569,54.69613259668509,84.61538461538463,209.73451327433628,42000,626715532.5
005090,SGC에너지,KOSPI,94,0.007000333032777951,-0.05555555555555558,False,881851179600,4.794520547945202,-3.3175355450236976,157.14285714285717,158.22784810126583,61200,10292448245.0
080580,오킨스전자,KOSDAQ,94,-0.06464621330265392,-0.0222222222222222,False,445019150500,12.35356762513311,12.955032119914357,107.06575073601572,176.1780104712042,21100,7640191899.5
006360,GS건설,KOSPI,94,0.02273561977161927,-0.0222222222222222,False,3294887365000,33.68055555555556,67.3913043478261,86.89320388349515,98.14719505918683,38500,76198239300.0
475150,SK이터닉스,KOSPI,94,0.21625532238849116,-0.07777777777777783,False,1768077507600,20.697674418604663,31.893265565438366,135.37414965986395,110.97560975609757,51900,113537948295.0
066570,LG전자,KOSPI,93,-0.014314244538233158,0.03333333333333327,False,32495485281000,-11.529933481152998,76.39257294429709,106.95020746887968,159.0909090909091,199500,163462810840.0
181710,NHN,KOSPI,93,1.5021328560858707,-0.09999999999999998,False,1847277039600,41.70854271356783,44.245524296675185,87.99999999999999,102.15053763440861,56400,18205893570.0
375500,DL이앤씨,KOSPI,93,-0.04093107631244761,0.055555555555555525,False,3319912853400,16.102841677943157,74.92354740061162,90.24390243902438,97.92387543252595,85800,29221389195.0
089860,롯데렌탈,KOSPI,93,2.873742928028497,-0.033333333333333326,False,1790052828400,60.064935064935064,52.1604938271605,54.303599374021914,65.43624161073826,49300,7053369525.0
001450,현대해상,KOSPI,93,1.8168176895080526,0.12222222222222223,False,4373235225000,30.700636942675153,72.14765100671141,74.19354838709677,83.87096774193547,51300,28903393607.5
162300,신스틸,KOSDAQ,93,0.013822289247190943,-0.06666666666666665,False,115497798870,65.77380952380953,69.40389294403893,56.90140845070422,31.367924528301884,2785,12351236703.3
121440,골프존홀딩스,KOSDAQ,93,4.32167728672315,-0.26666666666666666,False,337554125840,70.74756229685808,61.64102564102565,43.272727272727266,42.49547920433996,7880,769518937.0
006400,삼성SDI,KOSPI,93,-0.13364138783773657,-0.06666666666666665,False,43919113850000,1.1131725417439675,40.463917525773184,76.94805194805194,167.156862745098,545000,253230640825.0
